ageOfTheHouseholdHead	householdSize	farmSize	shareOfHiredLabour	commercializationIndex	totalLabourManDays	farmType	creditaccess	cropChoice	perCapitaIncome	percentNonfarmIncome	topgraphicWetnessIndex	distanceToBigMarket	None	CropMultipleTimes	ApplyFertilizer	ApplyImprovedSeed	UseIrrigationAndFertilizerApplication	UseIrrigation	Other
54	4	5.53	46	81.64	703.73	 Diversifier	 No	 VegitAndRice	1377459	64.84	29.35	31.76	0.00000	0.98846	0.00004	0.00003	0.00000	0.00000	0.01148
36	9	16.74	64	46.48	742.21	 Subsistence	 No	 RiceAndMaize	1045145	60.13	20.55	39.75	0.00001	0.11464	0.00001	0.76749	0.00000	0.00000	0.11785
38	3	14.81	85	31.64	572.91	 Diversifier	 No	 Maize	2657484	42.66	25.59	14.8	0.00004	0.15198	0.00002	0.00008	0.68694	0.00004	0.16090
33	11	4.11	87	39.45	976.91	 Diversifier	 No	 Maize	1303611	56.44	17.73	44.11	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000
25	2	3.53	78	30.47	772.99	 Diversifier	 No	 RiceAndMaize	3322112	35.95	31.3	33.45	0.46591	0.00000	0.00000	0.53409	0.00000	0.00000	0.00000
38	10	11.07	2	16.41	649.86	 Subsistence	 No	 RiceAndMaize	3420576	60.8	15.31	52.59	0.00000	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001
32	3	14.55	13	25	988.46	 Subsistence	 No	 RiceMaizeAndVegit	823602	6.05	26.06	16.5	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000	0.99999
34	7	2.63	22	32.81	765.29	 Diversifier	 No	 RiceMaizeAndVegit	3063646	39.64	16.65	47.26	0.63175	0.36824	0.00000	0.00000	0.00001	0.00000	0.00000
47	2	4.17	18	46.09	938.44	 Diversifier	 No	 RiceAndMaize	1168224	22.51	29.68	33.21	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
28	9	11.13	74	100	368.98	 Diversifier	 No	 Rice	1611310	6.38	29.48	45.56	0.54634	0.00000	0.00000	0.00000	0.00000	0.00000	0.45366
39	2	16.81	57	97.27	161.21	 Diversifier	 No	 VegitAndRice	2472865	86	19.4	22.31	0.00000	0.32636	0.57395	0.00000	0.00000	0.00000	0.09969
25	7	4.43	98	94.14	141.97	 Subsistence	 No	 Maize	700522	14.45	28.61	42.9	0.94698	0.00000	0.00002	0.00001	0.00001	0.00000	0.05298
47	1	1.53	77	87.89	234.32	 Diversifier	 No	 RiceAndMaize	3075954	84.66	17.32	1.73	0.82243	0.00000	0.17757	0.00000	0.00000	0.00000	0.00000
39	11	12.68	36	75.39	30.39	 Subsistence	 No	 VegitAndRice	3334420	24.19	30.36	53.8	0.69295	0.00000	0.02047	0.20679	0.05485	0.00000	0.02493
26	3	9.85	1	73.44	145.82	 Subsistence	 No	 RiceMaizeAndVegit	1278995	62.15	16.38	2.45	0.00000	0.00000	0.81649	0.00000	0.00000	0.00000	0.18351
52	8	0.89	24	76.56	230.47	 Diversifier	 No	 RiceMaizeAndVegit	3039030	19.48	30.15	55.98	0.99967	0.00013	0.00000	0.00020	0.00000	0.00000	0.00000
41	5	4.3	6	69.92	195.84	 Subsistence	 No	 Rice	798986	62.48	20.41	28.37	0.97602	0.00000	0.00230	0.00000	0.02151	0.00000	0.00017
43	9	12.94	100	26.17	472.87	 Diversifier	 No	 RiceAndMaize	528211	52.41	24.04	58.64	0.76895	0.00000	0.00000	0.00000	0.20982	0.00000	0.02123
39	4	12.62	97	43.36	326.66	 Subsistence	 No	 RiceMaizeAndVegit	3555963	28.89	21.35	24.49	0.00002	0.00000	0.00000	0.00157	0.00004	0.00000	0.99837
41	9	4.37	94	2.34	403.61	 Diversifier	 No	 RiceMaizeAndVegit	872834	68.87	25.85	36.6	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000
40	4	5.46	88	23.05	315.12	 Diversifier	 No	 RiceAndMaize	3432884	3.36	20.01	25.95	0.99998	0.00000	0.00000	0.00002	0.00000	0.00000	0.00000
32	10	17	25	35.55	176.6	 Diversifier	 No	 Rice	2694408	85.33	26.66	52.1	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000	0.99998
28	2	16.55	27	1.17	261.25	 Subsistence	 No	 Maize	1402075	29.23	16.25	24.98	0.00000	0.00011	0.00007	0.00000	0.10852	0.00000	0.89129
26	11	1.47	23	23.83	338.2	 Subsistence	 No	 Maize	2534405	78.27	26.12	35.15	0.00001	0.09295	0.23717	0.26195	0.39386	0.00000	0.01407
24	1	2.5	30	6.25	469.02	 Diversifier	 No	 Rice	1118992	15.45	20.88	6.33	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
30	7	12.1	76	52.34	711.43	 AgroPastoralist	 Yes	 RiceAndMaize	1082068	11.76	20.21	12.14	0.00003	0.97028	0.00001	0.00000	0.00000	0.00000	0.02968
47	2	13.78	82	92.19	584.45	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	2829795	49.38	25.52	57.19	0.00000	0.00006	0.00000	0.00000	0.79399	0.00000	0.20594
37	8	6.49	83	85.94	576.76	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	577443	34.27	14.7	6.09	0.00021	0.00004	0.00000	0.00004	0.00002	0.00000	0.99970
43	3	1.92	89	64.84	969.22	 AgroPastoralist	 Yes	 RiceAndMaize	3051338	76.59	23.77	59.37	0.00000	0.00000	0.99313	0.00000	0.00000	0.00000	0.00687
31	9	13	30	55.47	834.55	 Diversifier	 Yes	 RiceAndMaize	3100570	29.9	21.62	7.54	0.00000	0.98791	0.00000	0.00000	0.00000	0.00000	0.01209
35	2	14.04	20	65.23	588.3	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	1500538	44.68	28.34	45.8	0.00001	0.00000	0.98916	0.00000	0.00074	0.00000	0.01008
36	9	3.34	36	99.22	696.04	 Diversifier	 Yes	 Maize	3211341	10.75	21.02	23.77	0.03190	0.94615	0.00005	0.00001	0.00000	0.00000	0.02188
40	3	2.24	9	84.77	719.12	 Diversifier	 Yes	 RiceAndMaize	1438998	81.63	28.74	38.3	0.00006	0.00005	0.28047	0.37602	0.34339	0.00000	0.00000
34	11	9.65	52	24.22	715.27	 AgroPastoralist	 Yes	 RiceAndMaize	848218	71.22	19.74	29.58	0.00001	0.20262	0.70054	0.00000	0.00000	0.00000	0.09683
25	3	11.26	92	17.97	622.93	 Diversifier	 Yes	 VegitAndRice	2239014	24.86	24.98	62.03	0.00000	0.00043	0.00000	0.00000	0.00000	0.00000	0.99957
46	7	0.63	86	17.19	946.13	 Diversifier	 Yes	 RiceMaizeAndVegit	1759005	80.96	21.29	27.16	0.99997	0.00000	0.00001	0.00000	0.00002	0.00000	0.00000
53	4	3.01	65	10.55	630.63	 Diversifier	 Yes	 Rice	3297496	16.46	31.16	37.33	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
47	10	9.14	45	29.69	515.2	 Diversifier	 Yes	 Rice	2460557	70.88	15.58	30.3	0.26930	0.00000	0.00000	0.00000	0.00000	0.00000	0.73070
33	5	15.71	35	19.53	903.81	 Diversifier	 Yes	 VegitAndRice	2152859	25.53	22.9	46.29	0.00000	0.00053	0.00000	0.00000	0.00000	0.00000	0.99947
29	6	2.82	1	36.33	596	 Diversifier	 Yes	 RiceMaizeAndVegit	3088262	73.57	23.91	9.23	0.42106	0.57891	0.00000	0.00000	0.00002	0.00000	0.00000
55	2	6.3	15	8.59	553.67	 AgroPastoralist	 Yes	 RiceAndMaize	478980	31.24	25.38	34.91	0.97365	0.01369	0.00000	0.00000	0.00000	0.00000	0.01266
53	7	8.88	71	70.7	484.41	 Diversifier	 Yes	 Rice	1599002	38.97	30.29	21.83	0.00000	0.00001	0.00011	0.00000	0.00026	0.00000	0.99961
50	6	15.39	62	57.81	91.95	 Diversifier	 Yes	 VegitAndRice	2497481	66.85	21.69	40.72	0.99978	0.00001	0.00021	0.00000	0.00000	0.00000	0.00000
30	6	7.27	95	57.03	153.52	 AgroPastoralist	 Yes	 VegitAndRice	1426691	10.41	24.65	3.42	0.00000	0.98353	0.00000	0.00000	0.00000	0.00000	0.01646
56	2	7.98	63	96.88	361.29	 AgroPastoralist	 Yes	 RiceAndMaize	3174417	51.06	16.45	50.89	0.99999	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000
48	10	12.23	49	83.2	453.63	 AgroPastoralist	 Yes	 RiceAndMaize	3223649	38.3	25.12	12.63	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	5	10.68	10	58.2	357.44	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	1943624	70.21	22.7	61.06	0.99999	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
49	8	1.4	41	69.14	22.7	 Diversifier	 Yes	 VegitAndRice	1820544	26.54	30.69	19.41	0.04602	0.95366	0.00000	0.00012	0.00020	0.00000	0.00000
43	5	6.69	45	71.48	165.06	 Diversifier	 Yes	 Rice	1463614	63.16	15.17	43.38	0.00000	0.00000	0.99044	0.00000	0.00000	0.00000	0.00956
42	8	14.23	71	28.91	253.55	 AgroPastoralist	 Yes	 RiceAndMaize	1795929	54.09	26.53	7.05	0.98100	0.00000	0.00000	0.00000	0.01488	0.00000	0.00412
44	4	10.1	58	38.28	191.99	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	2595944	27.55	17.25	61.3	0.00000	0.97043	0.00040	0.00031	0.01588	0.00000	0.01297
51	9	5.59	57	5.47	184.3	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	466672	53.08	29.62	26.19	0.69363	0.00000	0.00000	0.00000	0.00014	0.00000	0.30623
35	5	5.21	97	37.5	118.89	 Diversifier	 Yes	 RiceAndMaize	2017471	13.1	16.78	48.23	0.41875	0.00000	0.58124	0.00001	0.00000	0.00000	0.00000
26	7	12.17	17	49.22	307.42	 AgroPastoralist	 Yes	 VegitAndRice	2214398	77.6	28.41	27.64	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
52	1	10.04	42	9.77	207.38	 Diversifier	 Yes	 RiceMaizeAndVegit	1008221	44.01	19	46.05	0.00030	0.00027	0.00012	0.00000	0.00006	0.00000	0.99925
51	8	7.59	31	41.02	372.83	 AgroPastoralist	 Yes	 Maize	2731332	45.35	30.49	5.12	0.00001	0.80987	0.00003	0.03011	0.00000	0.00001	0.15998
43	5	1.02	29	45.31	99.65	 AgroPastoralist	 Yes	 VegitAndRice	1106684	33.93	22.09	55.25	0.01542	0.98013	0.00000	0.00000	0.00000	0.00000	0.00445
28	10	13.26	100	66.02	876.88	 Diversifier	 Yes	 VegitAndRice	958989	35.61	16.11	39.27	0.00008	0.00001	0.00281	0.00000	0.00000	0.00000	0.99709
30	2	9.97	89	67.58	846.09	 Diversifier	 Yes	 RiceMaizeAndVegit	3568271	58.12	29.15	22.55	0.00000	0.71968	0.00026	0.00000	0.00002	0.00000	0.28004
51	9	1.98	81	78.91	892.27	 Diversifier	 Yes	 Maize	1919008	8.73	16.18	62.76	0.14650	0.00000	0.00000	0.00000	0.85350	0.00000	0.00000
39	5	1.6	54	91.8	949.98	 Subsistence	 Yes	 Rice	2854411	69.88	31.7	31.27	0.00014	0.00001	0.99984	0.00001	0.00000	0.00000	0.00000
53	9	16.94	23	96.48	692.19	 Subsistence	 Yes	 RiceAndMaize	2177475	14.11	15.78	40.96	0.00001	0.00036	0.00000	0.00053	0.00026	0.00000	0.99883
36	6	15.13	43	82.42	953.83	 Diversifier	 Yes	 Maize	1340535	83.98	26.59	16.26	0.00002	0.82177	0.00024	0.00000	0.00000	0.00000	0.17796
31	11	3.66	9	72.66	592.15	 Diversifier	 Yes	 VegitAndRice	3309804	24.52	22.5	46.77	0.62801	0.00021	0.00060	0.00000	0.00000	0.00000	0.37117
24	2	8.04	7	65.63	684.49	 Diversifier	 Yes	 RiceAndMaize	602059	59.8	26.73	21.59	0.00000	0.00000	0.99999	0.00000	0.00000	0.00000	0.00000
46	8	16.42	66	0.39	980.76	 Diversifier	 Yes	 RiceAndMaize	1931316	80.29	20.75	41.93	0.95831	0.00001	0.00000	0.00000	0.00000	0.00000	0.04168
42	4	14.1	68	11.33	557.52	 Diversifier	 Yes	 Maize	2792871	1.68	30.22	19.65	0.91743	0.00000	0.00014	0.00000	0.00000	0.00000	0.08243
35	11	5.01	79	19.14	603.69	 Subsistence	 Yes	 RiceMaizeAndVegit	712830	49.05	21.82	38.54	0.99996	0.00000	0.00000	0.00003	0.00000	0.00000	0.00001
26	3	6.17	92	45.7	626.78	 Diversifier	 Yes	 RiceAndMaize	2928258	21.84	24.18	5.6	0.11085	0.81376	0.07045	0.00000	0.00000	0.00000	0.00494
29	9	11.39	4	22.66	669.1	 Diversifier	 Yes	 VegitAndRice	3248265	47.37	23.37	58.16	0.00000	0.57993	0.00002	0.00000	0.00000	0.00000	0.42005
38	2	11.65	18	42.58	519.04	 Subsistence	 Yes	 RiceMaizeAndVegit	515903	17.8	27.67	32.48	0.00000	0.00000	0.81390	0.00025	0.00000	0.00000	0.18585
45	8	3.98	27	8.98	569.06	 Diversifier	 Yes	 Maize	2620560	76.93	17.93	33.94	0.82214	0.00018	0.00003	0.00001	0.00000	0.00000	0.17764
46	4	1.85	34	6.64	857.64	 Diversifier	 Yes	 RiceAndMaize	1549770	3.7	25.92	28.13	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
33	7	11.46	98	87.5	349.75	 Diversifier	 Yes	 VegitAndRice	1709773	19.82	25.25	57.43	0.67977	0.00002	0.00000	0.00000	0.00000	0.00000	0.32021
52	2	8.94	55	84.38	334.36	 Subsistence	 Yes	 VegitAndRice	3395960	79.28	21.42	29.82	0.18051	0.00015	0.00000	0.00001	0.00005	0.00000	0.81928
55	8	7.72	60	89.06	222.77	 Subsistence	 Yes	 RiceMaizeAndVegit	1352843	10.08	31.43	41.2	0.00000	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001
46	6	2.88	62	94.92	95.8	 Diversifier	 Yes	 RiceAndMaize	1894392	82.98	19.34	7.3	0.99999	0.00000	0.00000	0.00000	0.00001	0.00000	0.00000
48	7	16.68	34	68.75	49.63	 Diversifier	 Yes	 RiceAndMaize	1882084	7.05	29.21	39.99	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
50	5	9.59	49	95.31	188.14	 Diversifier	 Yes	 Maize	1217456	62.82	15.64	28.61	0.00001	0.00004	0.00000	0.00000	0.77386	0.00000	0.22609
53	11	7.14	44	58.59	284.34	 Subsistence	 Yes	 VegitAndRice	2965182	30.91	27.4	53.55	0.09274	0.68698	0.00000	0.15449	0.00000	0.00000	0.06580
25	5	6.75	14	67.97	353.59	 Subsistence	 Yes	 VegitAndRice	1660541	50.73	21.96	1.48	0.00000	0.00008	0.00074	0.00000	0.00000	0.00000	0.99918
45	7	11.84	88	1.95	18.85	 Subsistence	 Yes	 Rice	860526	54.42	29.01	47.02	0.96745	0.00000	0.00000	0.01879	0.00000	0.00000	0.01375
51	4	16.23	84	44.92	126.58	 Subsistence	 Yes	 VegitAndRice	3149801	11.42	14.57	14.56	0.00000	0.11790	0.00048	0.00000	0.87194	0.00000	0.00968
27	8	7.33	89	40.23	203.54	 Subsistence	 Yes	 VegitAndRice	442056	58.79	23.44	54.52	0.04146	0.91703	0.00000	0.00000	0.00000	0.00000	0.04151
44	1	5.79	95	37.89	465.18	 Subsistence	 Yes	 VegitAndRice	3235957	40.31	17.66	9.72	0.71140	0.00001	0.28859	0.00000	0.00000	0.00000	0.00000
27	10	14.94	31	33.59	238.16	 Diversifier	 Yes	 Rice	3445192	46.7	23.84	50.65	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001
31	2	14.42	5	48.83	434.39	 Subsistence	 Yes	 Maize	1537462	28.55	19.2	20.38	0.00000	0.00015	0.61628	0.00000	0.00000	0.00000	0.38357
34	10	2.3	41	43.75	103.5	 Diversifier	 Yes	 Maize	2288246	76.26	31.57	55.73	0.88486	0.11514	0.00000	0.00000	0.00000	0.00000	0.00000
32	3	1.34	32	14.45	80.41	 Subsistence	 Yes	 Rice	1586694	37.96	18.2	18.68	0.98173	0.01827	0.00000	0.00000	0.00000	0.00000	0.00000
56	6	8.75	50	50	507.5	 Diversifier	 No	 VegitAndRice	1992856	43	23.1	32	0.00002	0.96490	0.00002	0.00000	0.00000	0.00000	0.03507
63	2	7.2	39	37.11	115.04	 Subsistence	 Yes	 RiceMaizeAndVegit	3359036	65.51	25.05	59.13	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001
81	7	3.14	4	28.13	476.72	 Subsistence	 Yes	 VegitAndRice	1648233	32.25	18.93	1	0.35017	0.49101	0.13205	0.00000	0.00001	0.00000	0.02676
78	5	15.07	44	3.91	199.69	 Subsistence	 Yes	 RiceAndMaize	2423633	68.53	27.47	55.01	0.00000	0.02971	0.00000	0.96130	0.00000	0.00000	0.00899
62	9	10.43	37	26.95	265.1	 Subsistence	 Yes	 RiceMaizeAndVegit	1845160	5.38	18.26	3.18	0.20788	0.00001	0.32210	0.00008	0.00000	0.00000	0.46993
65	5	6.88	59	7.03	218.93	 Subsistence	 Yes	 Maize	995913	78.61	30.76	43.14	0.00000	0.00000	0.91769	0.04744	0.00000	0.00000	0.03487
60	7	1.21	84	13.67	107.34	 Diversifier	 Yes	 RiceAndMaize	2128243	13.77	18.6	10.93	0.99999	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
85	5	9.72	88	48.44	488.26	 Subsistence	 Yes	 RiceAndMaize	1722081	85.66	27.06	43.87	0.00001	0.76752	0.00012	0.00000	0.00000	0.00000	0.23234
63	11	10.94	60	7.42	268.95	 Diversifier	 Yes	 VegitAndRice	3346728	46.02	22.56	12.87	0.89183	0.02992	0.00001	0.00000	0.00000	0.00000	0.07825
83	6	1.66	37	61.33	226.62	 Diversifier	 Yes	 RiceMaizeAndVegit	2362094	4.7	27.74	34.66	0.06793	0.12135	0.00000	0.81072	0.00000	0.00000	0.00000
57	10	2.76	28	95.7	399.77	 Diversifier	 Yes	 Rice	1205148	51.4	19.94	16.02	0.99995	0.00000	0.00004	0.00001	0.00000	0.00000	0.00000
79	2	9.01	4	55.86	503.65	 Subsistence	 Yes	 Rice	2669792	30.57	28.07	49.92	0.00000	0.46263	0.41209	0.00003	0.00000	0.00000	0.12525
84	10	15.78	27	63.28	342.05	 Subsistence	 Yes	 VegitAndRice	454364	48.38	23.23	2.21	0.00492	0.12334	0.03767	0.00000	0.78828	0.00000	0.04579
71	1	6.62	93	59.38	215.08	 Diversifier	 Yes	 RiceMaizeAndVegit	614367	20.16	28.14	60.34	0.00000	0.00001	0.99999	0.00000	0.00000	0.00000	0.00000
86	8	5.14	86	83.98	211.23	 Subsistence	 Yes	 RiceAndMaize	3002106	55.77	18.33	21.34	0.94874	0.00005	0.00003	0.00000	0.00000	0.00000	0.05118
70	5	16.36	52	88.28	480.57	 Subsistence	 Yes	 RiceAndMaize	503596	37.29	27.13	60.09	0.00000	0.01508	0.00000	0.97580	0.00000	0.00000	0.00913
64	8	12.55	93	60.16	288.18	 Subsistence	 Yes	 Maize	1980548	84.99	22.63	15.05	0.00000	0.00000	0.00004	0.01012	0.61204	0.00000	0.37781
70	6	3.85	21	10.16	634.47	 Diversifier	 Yes	 RiceMaizeAndVegit	2411325	42.33	20.48	55.49	0.00002	0.99992	0.00003	0.00002	0.00000	0.00000	0.00000
58	8	3.79	39	46.88	722.97	 Subsistence	 Yes	 RiceAndMaize	1094376	8.06	27.53	25.22	0.00000	0.95856	0.03907	0.00000	0.00000	0.00000	0.00238
75	3	9.2	50	18.75	961.52	 Subsistence	 Yes	 RiceAndMaize	2842103	65.17	19.27	53.31	0.00000	0.69364	0.21041	0.00002	0.00000	0.00000	0.09593
75	9	12.42	33	25.39	734.51	 Subsistence	 Yes	 VegitAndRice	2202090	16.8	31.36	9.96	0.00000	0.00019	0.50678	0.00000	0.00013	0.00000	0.49291
67	6	4.04	80	20.7	930.74	 Subsistence	 Yes	 RiceMaizeAndVegit	1229764	83.65	17.99	56.22	0.10001	0.00000	0.20941	0.69057	0.00000	0.00000	0.00000
56	8	6.95	80	9.38	865.33	 Subsistence	 Yes	 RiceAndMaize	3199033	22.17	30.96	4.15	0.00000	0.00000	0.00000	0.99999	0.00000	0.00000	0.00000
